Result file for: SPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time: 9/6/2016 2:14:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Response codes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0: No response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1: False Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2: False Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3: User was unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4: Correct positive response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5: Correct negative response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Responses:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAV #5:,7.113,-,1,-,-,0,166.999,1,-,-,0,286.998,1,337.009,1,376.993,1,-,-,0,546.994,1,596.996,1,647.008,-,1,-,-,0,766.988,1,816.989,-,1,867,886.998
UAV #6:,-,-,0,86.013,126.025,2,-,0,206.025,-,1,-,0,-,0,-,0,-,-,0,-,0,566.038,1,-,-,0,-,-,0,-,0,-,-,0,,
UAV #7:,-,-,0,-,-,0,164.997,1,-,-,0,-,0,355.001,1,404.989,1,435.004,455.017,2,534.996,1,575.009,1,655.011,-,1,675.015,705.01,2,754.996,1,795.005,-,1,875.003,
UAV #8:,-,-,0,-,-,0,182,1,-,-,0,262.003,1,342.007,1,381.997,1,442.001,481.994,2,522.004,1,602.005,1,622.004,-,1,-,-,0,741.998,1,841.993,-,1,,
UAV #9:,-,-,0,-,-,0,135.025,1,-,-,0,-,0,315.008,1,-,0,-,-,0,-,0,555.034,1,614.988,-,1,675.031,-,1,775.022,1,-,-,0,,
UAV #10:,33.995,64.001,2,-,-,0,-,0,-,-,0,-,0,-,0,-,0,-,-,0,-,0,-,0,-,-,0,-,-,0,-,0,-,-,0,,
UAV #11:,-,-,0,-,-,0,173.001,1,-,-,0,-,0,-,0,413.001,1,-,-,0,-,0,-,0,-,-,0,-,-,0,733.002,1,833.006,-,1,,
UAV #12:,-,-,0,76.007,-,1,-,0,196,236.009,2,295.997,1,315.996,1,395.995,1,435.99,476.002,2,516.006,1,576.028,1,636.003,-,1,666.003,686,2,-,0,-,-,0,856.01,
UAV #13:,-,-,0,107.011,-,1,147.02,1,-,-,0,-,0,-,0,386.994,1,427.001,457.02,2,496.997,1,-,0,-,-,0,-,-,0,-,0,807.012,827.009,2,867,
UAV #14:,-,-,0,-,-,0,-,0,-,-,0,-,0,346.013,1,-,0,-,-,0,-,0,-,0,-,-,0,726.026,-,1,-,0,816.017,-,1,,
