participantNumber,TrialNumber,WorkloadCondition,SystemDate,SystemTime,MissionTime,TaskType,UAVNumber,MessageTime,MessageFrom,MessageResponseRequested,MessageContent,MessageCorrectAnswer,MessageAnswerAccuracy,MessageResponseTime,FLPlannedStartTime,FLRealStartTime,FLStopSystemTime,FLStopTime,FLResponseTime,FLAccuracy,TDWaypointOrder,TDWaypointLocation,TDTargetPresent,TDTargetSpawnTime,TDFinalInput,TDRespone,TDButtonClickTime,TDResponseTimestamp,TDResponseTime,RRTimePlanProjNFZ,RRTimeProjNFZ,RRTimeofRR,RRFinalInput,RRSuccessfulRR,RRResponseTime,Score,HighestPossibleScore
227,1,G,3/12/2020,34:20.2,130.0422,TargetDetection,1,,,,,,,,,,,,,,13,10,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:20.3,130.0644,TargetDetection,2,,,,,,,,,,,,,,13,11,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:20.3,130.0644,TargetDetection,3,,,,,,,,,,,,,,13,9,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:20.2,130.0422,TargetDetection,13,,,,,,,,,,,,,,13,14,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:20.3,130.0644,TargetDetection,11,,,,,,,,,,,,,,13,14,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:20.3,130.0644,TargetDetection,4,,,,,,,,,,,,,,13,3,1,8,1,TP,139.6901,9.172892,7.172892,,,,,,,100,100
227,1,G,3/12/2020,34:20.2,130.0422,TargetDetection,14,,,,,,,,,,,,,,13,10,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:20.2,130.0422,TargetDetection,8,,,,,,,,,,,,,,13,12,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:20.2,130.0422,TargetDetection,16,,,,,,,,,,,,,,13,15,1,8,1,FN,,,,,,,,,,-100,50
227,1,G,3/12/2020,34:20.3,130.0644,TargetDetection,9,,,,,,,,,,,,,,13,16,1,7,1,FN,,,,,,,,,,-100,50
227,1,G,3/12/2020,34:20.3,130.0644,TargetDetection,6,,,,,,,,,,,,,,13,6,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:20.2,130.0025,TargetDetection,15,,,,,,,,,,,,,,13,14,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:20.2,130.0422,TargetDetection,12,,,,,,,,,,,,,,13,2,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:20.2,130.0422,TargetDetection,5,,,,,,,,,,,,,,13,7,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:30.3,140.0536,TargetDetection,6,,,,,,,,,,,,,,14,10,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:30.2,139.9714,TargetDetection,1,,,,,,,,,,,,,,14,9,1,5,1,TP,149.0736,8.77309,3.77309,,,,,,,100,100
227,1,G,3/12/2020,34:30.2,140.0122,TargetDetection,4,,,,,,,,,,,,,,14,2,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:30.2,140.0122,TargetDetection,8,,,,,,,,,,,,,,14,8,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:30.3,140.0737,TargetDetection,10,,,,,,,,,,,,,,14,13,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:30.2,140.0122,TargetDetection,16,,,,,,,,,,,,,,14,16,1,8,1,TP,140.3627,0.3091225,-1.690877,,,,,,,100,100
227,1,G,3/12/2020,34:30.2,140.0122,TargetDetection,11,,,,,,,,,,,,,,14,2,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:30.2,140.0122,TargetDetection,7,,,,,,,,,,,,,,14,3,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:30.3,140.0737,TargetDetection,5,,,,,,,,,,,,,,14,11,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,34:30.2,140.0122,TargetDetection,13,,,,,,,,,,,,,,14,15,1,5,1,FN,,,,,,,,,,-100,50
